epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,14392,1.79036,1.20077,1.24405,0.80405,0.63974,0.70639,0.35069,1.75196,1.03618,1.26429,0.004357,0.004357,0.004357
59,14639.8,1.78491,1.19277,1.23629,0.80451,0.63924,0.70598,0.35077,1.75143,1.03422,1.26368,0.004258,0.004258,0.004258
60,14887.3,1.78733,1.19393,1.24297,0.80627,0.63847,0.70627,0.35095,1.7511,1.03298,1.26329,0.004159,0.004159,0.004159
61,15135,1.78028,1.1817,1.23781,0.80494,0.64007,0.70716,0.3512,1.75036,1.0323,1.26274,0.00406,0.00406,0.00406
62,15383.1,1.77954,1.18425,1.23431,0.80519,0.64028,0.7075,0.35172,1.74954,1.03133,1.26189,0.003961,0.003961,0.003961
63,15631.1,1.78046,1.18565,1.23879,0.80266,0.64265,0.7083,0.35216,1.7491,1.03012,1.26147,0.003862,0.003862,0.003862
64,15878.7,1.77411,1.17802,1.2341,0.80285,0.64234,0.70818,0.35261,1.74817,1.02935,1.26085,0.003763,0.003763,0.003763
65,16126.5,1.77089,1.17401,1.23545,0.80303,0.64215,0.70847,0.35256,1.74759,1.02826,1.2606,0.003664,0.003664,0.003664
66,16373.9,1.76908,1.16845,1.2306,0.80345,0.6424,0.7089,0.35305,1.74719,1.02689,1.2599,0.003565,0.003565,0.003565
67,16622.7,1.76596,1.16711,1.22785,0.80485,0.64265,0.70974,0.35347,1.74668,1.02579,1.2592,0.003466,0.003466,0.003466
68,16872.4,1.7575,1.1577,1.22544,0.8041,0.64368,0.71041,0.35386,1.74669,1.02447,1.25881,0.003367,0.003367,0.003367
69,17121.2,1.75842,1.16007,1.22711,0.80752,0.64257,0.71056,0.35401,1.74619,1.02328,1.2582,0.003268,0.003268,0.003268
70,17368.8,1.75637,1.1498,1.22308,0.80663,0.64411,0.71128,0.35435,1.74588,1.02184,1.25771,0.003169,0.003169,0.003169
71,17616.6,1.74918,1.1528,1.22109,0.80617,0.64429,0.71117,0.35424,1.7457,1.02073,1.25738,0.00307,0.00307,0.00307
72,17864.6,1.7494,1.14658,1.21627,0.80582,0.64524,0.7112,0.35445,1.74545,1.01986,1.25706,0.002971,0.002971,0.002971
73,18112.3,1.74867,1.14549,1.2169,0.80745,0.64438,0.71171,0.35484,1.7451,1.01901,1.25633,0.002872,0.002872,0.002872
74,18360,1.7429,1.1394,1.2169,0.80583,0.64563,0.71207,0.35509,1.74442,1.01801,1.25562,0.002773,0.002773,0.002773
75,18607.5,1.73846,1.13195,1.2124,0.80514,0.64564,0.71129,0.35529,1.74402,1.01718,1.25517,0.002674,0.002674,0.002674
76,18855,1.73992,1.12649,1.2131,0.8032,0.64716,0.71227,0.35573,1.74377,1.01606,1.25455,0.002575,0.002575,0.002575
77,19102.6,1.72988,1.12086,1.20941,0.80208,0.64732,0.71233,0.35567,1.74363,1.01456,1.25387,0.002476,0.002476,0.002476
78,19349.8,1.72865,1.11803,1.2087,0.80339,0.64672,0.71274,0.35573,1.7436,1.01359,1.25339,0.002377,0.002377,0.002377
79,19597.3,1.72758,1.11545,1.20637,0.80224,0.64772,0.71332,0.35617,1.74328,1.01237,1.25295,0.002278,0.002278,0.002278
80,19844.8,1.71875,1.10666,1.1994,0.80563,0.64689,0.71367,0.35662,1.74285,1.01132,1.25225,0.002179,0.002179,0.002179
81,20092.5,1.71505,1.10176,1.20088,0.80528,0.64739,0.7138,0.35665,1.74266,1.01008,1.25186,0.00208,0.00208,0.00208
82,20340.1,1.71473,1.09796,1.19786,0.80617,0.64697,0.71383,0.35685,1.74229,1.00928,1.25105,0.001981,0.001981,0.001981
83,20588.1,1.70926,1.09637,1.19696,0.80348,0.64938,0.71426,0.35716,1.74224,1.00835,1.25069,0.001882,0.001882,0.001882
